新老品标签,国家,PID,SPU,shop_name,二级类目,三级类目,店铺评分,首图 url,上架时间,商品卡日均占比,GPM分层,可用库存,销量排名,是否在联盟,商品详情页URL,营销价
近14天新品,GB,1729861033493830048,S260626003429,Modest Abaya Fashion,标码女装,女士穆斯林服饰,4.8,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/ec0df0798ac4409c8e53e9792d6413f8~tplv-g9dfdl17fc-origin-image.image,2026/6/30,内容场占比低,,37,47,In Affiliate,https://shop.tiktok.com/view/product/1729861033493830048?region=GB&locale=en,22.3
近14天新品,US,1732470305893552844,S260702009549,FelixGarden,标码女装,女士下装,Null,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/60e47138c33346a385e5f9ac0d0bdb33~tplv-g9dfdl17fc-origin-image.image,2026/7/2,内容场占比低,高GPM,7002,95,,https://shop.tiktok.com/view/product/1732470305893552844?region=US&locale=en,15.9
近14天新品,US,1732475226408849709,S260705020552,Demi Chic Plus,大码女装,女士连衣裙,Null,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/fa35b15447db46608b853f7910189bed~tplv-g9dfdl17fc-origin-image.image,2026/7/5,内容场占比低,,1246,96,,https://shop.tiktok.com/view/product/1732475226408849709?region=US&locale=en,15.6
近14天新品,GB,1729863940477786819,S260630028547,Naya Wear,大码女装,女士上装,4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/502c63f5ba9844c1a55078cbf552d9ed~tplv-g9dfdl17fc-origin-image.image,2026/6/30,内容场占比低,,274,49,,https://shop.tiktok.com/view/product/1729863940477786819?region=GB&locale=en,12.1
近14天新品,US,1732464723495391427,S260629016140,XXINGWANG,大码女装,女士下装,3.5,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/dd7d69e74e4c45109f1832fff8c9101b~tplv-g9dfdl17fc-origin-image.image,2026/6/29,内容场占比低,,12464,97,Not in Affiliate,https://shop.tiktok.com/view/product/1732464723495391427?region=US&locale=en,12.1
近14天新品,US,1732457174456963826,S260624021248,ZANZEAFASHION,标码女装,女士穆斯林服饰,1.8,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/964cb022f80a4f72b3da50c27b2b98a4~tplv-g9dfdl17fc-origin-image.image,2026/7/1,内容场占比低,,17,98,,https://shop.tiktok.com/view/product/1732457174456963826?region=US&locale=en,18
近14天新品,US,1732464849919119840,S260629026449,DARKLOOKS,标码女装,女士套装及西服,4.4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/faab1b73aa5a4c1eb56d6469c02b3409~tplv-g9dfdl17fc-origin-image.image,2026/7/3,内容场占比低,,58,99,,https://shop.tiktok.com/view/product/1732464849919119840?region=US&locale=en,17.8
近14天新品,US,1732468360755515697,S260701019549,Avant Garde Codes,标码女装,女士套装及西服,2,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/8d771ce7782e4983a747e28e7a7d4853~tplv-g9dfdl17fc-origin-image.image,2026/7/6,内容场占比低,高GPM,3983,100,,https://shop.tiktok.com/view/product/1732468360755515697?region=US&locale=en,11.8
近14天新品,US,1732470537606041815,S260702015245,YUNJINJ,大码女装,女士连衣裙,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/03746dc2ce5f4ae7bb9fcf358b7db5ca~tplv-g9dfdl17fc-origin-image.image,2026/7/2,内容场占比低,,42,101,,https://shop.tiktok.com/view/product/1732470537606041815?region=US&locale=en,13.3
近14天新品,US,1732474934146339465,S260705012670,.Home sweet home,大码女装,女士下装,3.2,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/7d2e6f2318304a93aa46d815358a4f64~tplv-g9dfdl17fc-origin-image.image,2026/7/5,内容场占比低,高GPM,1,102,,https://shop.tiktok.com/view/product/1732474934146339465?region=US&locale=en,13.3
近14天新品,GB,1729864582369024653,S260701019298,Fool For You,标码女装,女士套装及西服,4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/ef3fbd0d1aa54469a0efaa3f24b12fca~tplv-g9dfdl17fc-origin-image.image,2026/7/1,内容场占比低,,1044,51,,https://shop.tiktok.com/view/product/1729864582369024653?region=GB&locale=en,17.6
近14天新品,US,1732439750088429965,S260610026325,Rusttydustty Curve,大码女装,女士连衣裙,4.8,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/390faca90323465baec3ae62b87c6fe4~tplv-g9dfdl17fc-origin-image.image,2026/7/2,内容场占比低,高GPM,50,103,In Affiliate,https://shop.tiktok.com/view/product/1732439750088429965?region=US&locale=en,15.1
近14天新品,US,1732463766147666573,S260626001323,BOOM WOO,标码女装,女士套装及西服,2.1,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/e17196d1bc2541329ff8c1e172d5c29b~tplv-g9dfdl17fc-origin-image.image,2026/6/29,内容场占比低,,2690,104,,https://shop.tiktok.com/view/product/1732463766147666573?region=US&locale=en,15
近14天新品,DE,1729867584322051009,S260706037538,Modest Abayas,标码女装,女士穆斯林服饰,Null,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/4f1258770d5e45bbb0a3c0630db60389~tplv-g9dfdl17fc-origin-image.image,2026/7/6,内容场占比低,高GPM,1731,1,,https://shop.tiktok.com/view/product/1729867584322051009?region=DE&locale=en,35
近14天新品,US,1732463929780966347,S260628012448,Karina Dress,标码女装,女士套装及西服,4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/146bb9e1a9f4482d903c7d5f010b040c~tplv-g9dfdl17fc-origin-image.image,2026/7/2,内容场占比低,高GPM,20,105,,https://shop.tiktok.com/view/product/1732463929780966347?region=US&locale=en,14.8
近14天新品,GB,1729858978537053009,S260623033445,ruisusu Marketplace,标码女装,女士穆斯林服饰,4.3,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/a5da94f9ffb544e3805fd36bc27ef863~tplv-g9dfdl17fc-origin-image.image,2026/7/2,内容场占比低,,1,52,,https://shop.tiktok.com/view/product/1729858978537053009?region=GB&locale=en,17
近14天新品,US,1732456537392780140,S260624015270,DOUCIU Store,标码女装,女士套装及西服,3.4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/5e1089362d7b46998544115611d5dc5d~tplv-g9dfdl17fc-origin-image.image,2026/6/29,内容场占比低,,42,106,,https://shop.tiktok.com/view/product/1732456537392780140?region=US&locale=en,14.4
近14天新品,US,1732478539070411713,S260707027735,Modest Abayas,标码女装,女士穆斯林服饰,Null,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/4eccb568960f49ffb7b9451c98517913~tplv-g9dfdl17fc-origin-image.image,2026/7/7,内容场占比低,高GPM,1991,107,,https://shop.tiktok.com/view/product/1732478539070411713?region=US&locale=en,28.4
近14天新品,GB,1729860990471871029,S260626000670,Finjani Plus Dress,大码女装,女士连衣裙,Null,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/f36747a666634b47b68b479358310d47~tplv-g9dfdl17fc-origin-image.image,2026/6/29,内容场占比低,,112,53,,https://shop.tiktok.com/view/product/1729860990471871029?region=GB&locale=en,19.8
近14天新品,GB,1729863180091889988,S260629031748,Retro Graze,标码女装,女士穆斯林服饰,Null,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/7c86ac6dfb724fe0be4c85ae624a6fa2~tplv-g9dfdl17fc-origin-image.image,2026/7/2,内容场占比低,,19,55,,https://shop.tiktok.com/view/product/1729863180091889988?region=GB&locale=en,19.6
近14天新品,US,1732463199998481173,S260628010819,Lllumi,大码女装,女士连衣裙,Null,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/15770cfa6dd44b66a0b25b57e1c721af~tplv-g9dfdl17fc-origin-image.image,2026/7/1,内容场占比低,,9,108,,https://shop.tiktok.com/view/product/1732463199998481173?region=US&locale=en,12.2
近14天新品,GB,1729860429509270115,S260625016205,HUIRUI SportWear,标码女装,女士下装,4.1,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/b4e55a1772ca41c6b5d86498f53ef229~tplv-g9dfdl17fc-origin-image.image,2026/6/29,内容场占比低,高GPM,125,56,In Affiliate,https://shop.tiktok.com/view/product/1729860429509270115?region=GB&locale=en,13.7
近14天新品,US,1732457071965082169,S260624013223,PoshByMe,标码女装,女士下装,2.2,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/41d590a762404de194902d2f4d4395d0~tplv-g9dfdl17fc-origin-image.image,2026/6/30,内容场占比低,高GPM,71,109,Not in Affiliate,https://shop.tiktok.com/view/product/1732457071965082169?region=US&locale=en,32.3
